segmento,ruta,rutas_fuente,es_principal,criterio_seleccion,pax_2019,pax_2020,pax_2021,pax_2022,pax_2023,pax_2024,pax_2025,pax_2019_1s,pax_2026_1s,var_2025,var_2026_1s,valoracion
cabotaje,Mar del Plata - Mendoza,Mar del Plata - Mendoza,False,,6427,6226,2805,20700,15694,15202,15667,6167,4976,143.76847673875835,-19.312469596238046,Recuperación amplia
cabotaje,Iguazú - Rosario,Iguazú - Rosario,False,,44939,15324,11,30387,31361,19565,14673,18013,4709,-67.34907318809942,-73.85776938877477,Muy por debajo de 2019
cabotaje,Mendoza - Rosario,Mendoza - Rosario,False,,30371,8416,7568,34597,30818,21109,11084,12833,488,-63.504659049751396,-96.19730382607341,Muy por debajo de 2019
cabotaje,Región Buenos Aires - Río Cuarto,Aeroparque - Río Cuarto,False,,37210,4630,5877,23398,28508,24550,11024,18299,11481,-70.37355549583447,-37.258866604732496,Muy por debajo de 2019
cabotaje,El Calafate - Trelew,El Calafate - Trelew,False,,9685,3323,27,4907,10949,9824,10054,4019,3232,3.810015487867835,-19.58198556854939,Recuperación leve
cabotaje,Trelew - Ushuaia,Trelew - Ushuaia,False,,26750,8878,122,8627,17929,16975,9809,10510,3835,-63.33084112149533,-63.51094196003806,Muy por debajo de 2019
cabotaje,Mar del Plata - Tucumán,Mar del Plata - Tucumán,False,,7164,7956,2819,12483,14966,7330,9588,6915,6715,33.83584589614741,-2.8922631959508283,Recuperación amplia
cabotaje,Córdoba - Posadas,Córdoba - Posadas,False,,23485,3208,5,11711,27201,17338,8757,11994,2,-62.712369597615506,-99.98332499583125,Muy por debajo de 2019
cabotaje,Rosario - Salta,Rosario - Salta,False,,48859,10902,7291,32975,25498,18256,7167,16974,4365,-85.33125933809534,-74.28419936373277,Muy por debajo de 2019
cabotaje,Bariloche - Tucumán,Bariloche - Tucumán,False,,12630,0,0,2419,9081,2666,2365,5703,0,-81.27474267616786,-100.0,Muy por debajo de 2019
cabotaje,Bahía Blanca - Mar del Plata,Bahía Blanca - Mar del Plata,False,,28428,6102,505,4814,10887,6746,1862,15510,966,-93.45011960039398,-93.77176015473889,Muy por debajo de 2019
