iata;oaci;continent;latitude;longitude;municipality;country
AMH;HAAM;AF;603.939;375.905;Arba Minch;ET
AMJ;SNAR;SA;'-16.165579;'-40.684024;Almenara;BR
AMK;;NA;37.203.201;'-107.869003;Durango;US
AML;;NA;8.267.667;'-82.864537;Puerto Armuelles;PA
AMM;OJAI;AS;317.226.009.369;359.931.983.948;Amman;JO
AMN;KAMN;NA;43.322.101.593;'-84.68800354;Alma;US
AMO;FTTU;AF;141.456;153.144;Mao;TD
AMP;FMSY;AF;'-24.699699;447.342;Ampanihy;MG
AMQ;WAPP;AS;'-3.71026;128.089.005;Ambon;ID
AMS;EHAM;EU;52.308.601;476.389;Amsterdam;NL
AMT;YAMT;OC;'-26.097363;131.202.732;;AU
AMV;ULDD;AS;6.976.329.803.466.790;61.556.400.299.072.200;Amderma;RU
AMW;KAMW;NA;41.992.001;'-93.621803;Ames;US
AMX;;OC;'-21.738300323486328;13.524.200.439.453.100;;AU
AMZ;NZAR;OC;'-37.029701232910156;17.497.300.720.214.800;Manurewa;NZ
ANA;;AF;'-1.27156;34.955.513;Maasai Mara;KE
ANB;KANB;NA;335.882;'-85.8581;Anniston;US
ANC;PANC;NA;61.179.004;'-149.992561;Anchorage;US
AND;KAND;NA;344.945.983.887;'-82.70939636230001;Anderson;US
ANE;LFJR;EU;47.560.299;'-0.312222;Angers;FR
ANF;SCFA;SA;'-23.444501;'-70.445099;Antofagasta;CL
ANG;LFBU;EU;45.729.198;0.221456;Angoulême;FR
ANI;PANI;NA;61.581.600.189.208.900;'-159.54299926757812;Aniak;US
ANJ;FCBZ;AF;'-2.85;13.817;Zanaga;CG
ANK;LTAD;AS;39.949.798.584;326.885.986.328;Ankara;TR
ANL;;AF;'-11.4723;16.710.899;Andulo;AO
ANM;FMNH;AF;'-14.9994;50.320.202;Antsirabe;MG
ANN;PANT;NA;55.037.663;'-131.572609;Metlakatla;US
ANO;FQAG;AF;'-16.18187;39.945.217;Angoche;MZ
ANP;KANP;NA;38.942.902;'-76.568398;Annapolis;US
ANQ;KANQ;NA;41.639.702;'-85.083504;Angola;US
ANR;EBAW;EU;51.190.667;4.463.153;Antwerp;BE
ANS;SPHY;SA;'-13.706399917602539;'-73.35040283203125;Andahuaylas;PE
ANT;;EU;47.119.621;10.240.524;Sankt Anton am Arlberg;AT
ANU;TAPA;NA;171.367;'-61.792702;Osbourn;AG
ANV;PANV;NA;62.646.702;'-160.190994;Anvik;US
ANW;KANW;NA;42.579.201;'-99.992995;Ainsworth;US
ANX;ENAN;EU;69.292.503;16.144.199;Andenes;NO
ANY;KANY;NA;37.158.501;'-98.079597;Anthony;US
AOC;EDAC;EU;50.981.945;12.506.389;Nobitz;DE
AOE;LTBY;AS;39.809.898;305.194;Eskişehir;TR
AOG;ZYAS;AS;41.105.301;122.853.996;Anshan;CN
AOH;KAOH;NA;40.706.902;'-84.026703;Lima;US
AOI;LIPY;EU;43.616.299;133.623;Falconara Marittima (AN);IT
AOJ;RJSA;AS;4.073.469.924.926.750;1.406.909.942.626.950;Aomori;JP
AOK;LGKP;EU;35.421.398;27.146;Karpathos Island;GR
AOL;SARL;SA;'-29.6894;'-57.1521;Paso de los Libres;AR
AOO;KAOO;NA;40.296.398;'-78.32;Altoona;US
AOP;;SA;'-2.79612994194;'-76.46659851070001;Andoas;PE
AOQ;;NA;7.288.703;'-55.596287;Aappilattoq;GL
AOR;WMKA;AS;6.189.670.085.906.980;10.039.800.262.451.100;Alor Satar;MY
AOS;;NA;574.715.003.967;'-153.815002441;Amook Bay;US
AOT;LIMW;EU;45.738.552;73.683;Saint-Christophe (AO);IT
AOU;VLAP;AS;14.793.056;107.045.278;Attopeu;LA
APA;KAPA;NA;3.957.009.888;'-104.848999;Denver;US
APB;SLAP;SA;'-14.7356;'-68.411903;Apolo;BO
APC;KAPC;NA;382.132;'-122.280998;Napa;US
APF;KAPF;NA;261.525.993.347;'-81.7752990723;Naples;US
APG;KAPG;NA;39.466.202;'-76.1688;Aberdeen;US
APH;KAPH;NA;38.068.631;'-77.319318;Bowling Green;US
API;SKAP;SA;407.607;'-73.5627;Apiay;CO
APK;NTGD;OC;'-15.5736;'-146.414993;Apataki;PF
APL;FQNP;AF;'-15.105600357055664;3.928.179.931.640.620;Nampula;MZ
APN;KAPN;NA;450.780.983;'-83.56030273;Alpena;US
APO;SKLC;SA;781.196;'-76.7164;Carepa;CO
APQ;SNAL;SA;'-9.776589;'-36.628983;Arapiraca;BR
APS;SWNS;SA;'-16.363575;'-48.9288;Anápolis;BR
