A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2021;CNQ - ROS;Aerol¡neas Argentinas;Regular Cabotaje;99,5;272;2,5
2021;CNQ - SFN;Aerol¡neas Argentinas;Regular Cabotaje;33,5;96;1
2019;COC - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;0;69;0,5
2017;COR - COR;Aerol¡neas Argentinas;Regular Cabotaje;138,5;192;1,5
2018;COR - COR;Aerol¡neas Argentinas;Regular Cabotaje;106;170;1
2019;COR - COR;Aerol¡neas Argentinas;Regular Cabotaje;174,5;218;1,5
2021;COR - COR;Aerol¡neas Argentinas;Regular Cabotaje;79;85;0,5
2018;COR - CPC;Aerol¡neas Argentinas;Regular Cabotaje;3656;5950;35
2021;COR - CPC;Aerol¡neas Argentinas;Regular Cabotaje;2172;3132;22,5
2017;COR - CRD;Aerol¡neas Argentinas;Regular Cabotaje;18274;21854;167,5
2018;COR - CRD;Aerol¡neas Argentinas;Regular Cabotaje;63801,5;76612;584
2019;COR - CRD;Aerol¡neas Argentinas;Regular Cabotaje;64362,5;81986;627
2021;COR - CRD;Aerol¡neas Argentinas;Regular Cabotaje;74,5;85;0,5
2019;COR - CTC;Aerol¡neas Argentinas;Regular Cabotaje;55,5;64;0,5
2021;COR - CTC;Aerol¡neas Argentinas;Regular Cabotaje;88;96;1
2021;COR - EQS;Aerol¡neas Argentinas;Regular Cabotaje;28;48;0,5
2017;COR - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;0;85;0,5
2019;COR - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;65;64;0,5
2020;COR - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;119;510;3
2021;COR - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;27;170;1
2017;COR - EZE;Aerol¡neas Argentinas;Regular Cabotaje;52758;75965;529,5
2018;COR - EZE;Aerol¡neas Argentinas;Regular Cabotaje;47144;73477;482,5
2019;COR - EZE;Aerol¡neas Argentinas;Regular Cabotaje;154590;186425;1221
2020;COR - EZE;Aerol¡neas Argentinas;Regular Cabotaje;65617,5;80916;533,5
2021;COR - EZE;Aerol¡neas Argentinas;Regular Cabotaje;77326;94401;697,5
2018;COR - FCO;Aerol¡neas Argentinas;Regular Internacional;216;272;1
2020;COR - FDO;Aerol¡neas Argentinas;No Regular Cabotaje;0;85;0,5
2021;COR - FDO;Aerol¡neas Argentinas;Regular Cabotaje;143;160;1,5
2017;COR - FLN;Aerol¡neas Argentinas;Regular Internacional;158;170;1
2019;COR - FLN;Aerol¡neas Argentinas;Regular Internacional;608;978;6
2020;COR - FLN;Aerol¡neas Argentinas;Regular Internacional;4928;7438;44
2017;COR - FTE;Aerol¡neas Argentinas;Regular Cabotaje;8737,5;10068;78,5
2018;COR - FTE;Aerol¡neas Argentinas;Regular Cabotaje;57,5;64;0,5
2019;COR - FTE;Aerol¡neas Argentinas;Regular Cabotaje;71;85;0,5
2021;COR - FTE;Aerol¡neas Argentinas;Regular Cabotaje;5748,5;6430;40
2017;COR - GIG;Aerol¡neas Argentinas;Regular Internacional;9838;12240;72
2018;COR - GIG;Aerol¡neas Argentinas;Regular Internacional;9910;11560;68
2019;COR - GIG;Aerol¡neas Argentinas;Regular Internacional;14588;18190;107
2020;COR - GIG;Aerol¡neas Argentinas;Regular Internacional;10286;14960;88
2017;COR - GRU;Aerol¡neas Argentinas;Regular Internacional;300;340;2
2019;COR - GRU;Aerol¡neas Argentinas;Regular Internacional;583;680;4
2020;COR - GRU;Aerol¡neas Argentinas;Regular Internacional;300;510;3
2019;COR - IGR;Aerol¡neas Argentinas;No Regular Cabotaje;30,5;69;0,5
2017;COR - IGR;Aerol¡neas Argentinas;Regular Cabotaje;531,5;765;4,5
2018;COR - IGR;Aerol¡neas Argentinas;Regular Cabotaje;129,5;255;1,5
2019;COR - IGR;Aerol¡neas Argentinas;Regular Cabotaje;106;154;1
2021;COR - IGR;Aerol¡neas Argentinas;Regular Cabotaje;11333;14866;147
2017;COR - JFK;Aerol¡neas Argentinas;Regular Internacional;492;544;2
2018;COR - JUJ;Aerol¡neas Argentinas;No Regular Cabotaje;17;85;0,5
2017;COR - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;264;319;2
2018;COR - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;5989;6800;40
2019;COR - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;99,5;234;1,5
2021;COR - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;11709,5;13852;139
2019;COR - LIM;Aerol¡neas Argentinas;Regular Internacional;152;170;1
2021;COR - LUQ;Aerol¡neas Argentinas;No Regular Cabotaje;52,5;96;1
2021;COR - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;51,5;96;1
2017;COR - MAD;Aerol¡neas Argentinas;Regular Internacional;239;272;1
2021;COR - MDQ;Aerol¡neas Argentinas;No Regular Cabotaje;31;48;0,5
2019;COR - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;54,5;64;0,5
2021;COR - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;3182;3984;41,5
2020;COR - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;33;170;1
2021;COR - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;39;48;0,5
2017;COR - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;26527;30898;182
2018;COR - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;163,5;255;1,5
2019;COR - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;508,5;532;3,5
2020;COR - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;1564;2280;20
2021;COR - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;31897;39532;406
2017;COR - MIA;Aerol¡neas Argentinas;Regular Internacional;268;272;1
2019;COR - MIA;Aerol¡neas Argentinas;Regular Internacional;220;272;1
2021;COR - MIA;Aerol¡neas Argentinas;Regular Internacional;458;544;2
2018;COR - MVD;Aerol¡neas Argentinas;Regular Internacional;88;128;1
2017;COR - NQN;Aerol¡neas Argentinas;Regular Cabotaje;1989;2133;16,5
2018;COR - NQN;Aerol¡neas Argentinas;Regular Cabotaje;92030,5;116364;720
2019;COR - NQN;Aerol¡neas Argentinas;Regular Cabotaje;88572,5;114447;708
2020;COR - NQN;Aerol¡neas Argentinas;Regular Cabotaje;15980;20346;154,5
2021;COR - NQN;Aerol¡neas Argentinas;Regular Cabotaje;15971,5;18824;192,5
2020;COR - OES;Aerol¡neas Argentinas;Regular Cabotaje;60,5;64;0,5
2017;COR - PDP;Aerol¡neas Argentinas;Regular Internacional;221;530;4
2018;COR - PDP;Aerol¡neas Argentinas;Regular Internacional;2986;4780;35
2020;COR - PDP;Aerol¡neas Argentinas;Regular Internacional;133;170;1
2017;COR - POA;Aerol¡neas Argentinas;Regular Internacional;133;170;1
2019;COR - POA;Aerol¡neas Argentinas;Regular Internacional;228;340;2
2018;COR - PSS;Aerol¡neas Argentinas;Regular Cabotaje;128;234;1,5
2019;COR - PSS;Aerol¡neas Argentinas;Regular Cabotaje;77,5;85;0,5
2018;COR - PUJ;Aerol¡neas Argentinas;Regular Internacional;5164;6290;37
2019;COR - PUJ;Aerol¡neas Argentinas;Regular Internacional;5664;7140;42
2020;COR - PUJ;Aerol¡neas Argentinas;Regular Internacional;2659;3670;21
2021;COR - RCU;Aerol¡neas Argentinas;Regular Cabotaje;75;96;1
2017;COR - REL;Aerol¡neas Argentinas;Regular Cabotaje;10692,5;14566;111,5
2018;COR - REL;Aerol¡neas Argentinas;Regular Cabotaje;2911,5;3783;22,5
2019;COR - REL;Aerol¡neas Argentinas;Regular Cabotaje;122,5;154;1
2020;COR - REL;Aerol¡neas Argentinas;Regular Cabotaje;80;137;1
2019;COR - RES;Aerol¡neas Argentinas;No Regular Cabotaje;0;85;0,5
2017;COR - RES;Aerol¡neas Argentinas;Regular Cabotaje;57;85;0,5
2018;COR - RES;Aerol¡neas Argentinas;Regular Cabotaje;223,5;340;2
2019;COR - RES;Aerol¡neas Argentinas;Regular Cabotaje;97,5;149;1
2021;COR - RES;Aerol¡neas Argentinas;Regular Cabotaje;75;117;1
2017;COR - RGA;Aerol¡neas Argentinas;Regular Cabotaje;55;192;1,5
2017;COR - RGL;Aerol¡neas Argentinas;Regular Cabotaje;59,5;64;0,5
2017;COR - RHD;Aerol¡neas Argentinas;Regular Cabotaje;490;595;3,5
2021;COR - RHD;Aerol¡neas Argentinas;Regular Cabotaje;178,5;336;3,5
2017;COR - ROS;Aerol¡neas Argentinas;Regular Cabotaje;17628,5;22244;172
2018;COR - ROS;Aerol¡neas Argentinas;Regular Cabotaje;9;170;1
2019;COR - ROS;Aerol¡neas Argentinas;Regular Cabotaje;251;319;2
2020;COR - ROS;Aerol¡neas Argentinas;Regular Cabotaje;77;137;1
2021;COR - RSA;Aerol¡neas Argentinas;Regular Cabotaje;117;288;3
2017;COR - SCL;Aerol¡neas Argentinas;Regular Internacional;142;170;1
2018;COR - SCL;Aerol¡neas Argentinas;Regular Internacional;196;340;2
2019;COR - SCL;Aerol¡neas Argentinas;Regular Internacional;245;256;2
2021;COR - SDE;Aerol¡neas Argentinas;Regular Cabotaje;287;628;5
2021;COR - SFN;Aerol¡neas Argentinas;No Regular Cabotaje;25,5;48;0,5
2020;COR - SFN;Aerol¡neas Argentinas;Regular Cabotaje;120,5;128;1
2021;COR - SFN;Aerol¡neas Argentinas;Regular Cabotaje;167,5;336;3,5
2021;COR - SLA;Aerol¡neas Argentinas;Av. Gral Cabotaje;34;48;0,5
2018;COR - SLA;Aerol¡neas Argentinas;No Regular Cabotaje;78,5;85;0,5
2020;COR - SLA;Aerol¡neas Argentinas;No Regular Cabotaje;44,5;64;0,5
2017;COR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;61958;70273;537,5
2018;COR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;92891;109075;677
2019;COR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;90239;115014;711,5
2020;COR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;15875,5;20406;155
2021;COR - SLA;Aerol¡neas Argentinas;Regular Cabotaje;18999,5;22236;219,5
2017;COR - SSA;Aerol¡neas Argentinas;Regular Internacional;14357;17426;103
2018;COR - SSA;Aerol¡neas Argentinas;Regular Internacional;10958;14450;85
2019;COR - SSA;Aerol¡neas Argentinas;Regular Internacional;10958;12750;75
2020;COR - SSA;Aerol¡neas Argentinas;Regular Internacional;2755;3570;21
2017;COR - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;55;85;0,5
2018;COR - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;153;234;1,5
2019;COR - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;321,5;489;3
2017;COR - TUC;Aerol¡neas Argentinas;Regular Cabotaje;856,5;1382;8,5
2018;COR - TUC;Aerol¡neas Argentinas;Regular Cabotaje;56513,5;77066;586
2019;COR - TUC;Aerol¡neas Argentinas;Regular Cabotaje;69236,5;91748;684
2020;COR - TUC;Aerol¡neas Argentinas;Regular Cabotaje;473;680;4
2021;COR - TUC;Aerol¡neas Argentinas;Regular Cabotaje;7131;9493;98,5
2017;COR - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;107,5;170;1
2019;COR - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;81;85;0,5
2021;COR - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;45,5;48;0,5
2017;COR - USH;Aerol¡neas Argentinas;Regular Cabotaje;22190,5;28604;218,5
2018;COR - USH;Aerol¡neas Argentinas;Regular Cabotaje;62,5;85;0,5
2021;COR - USH;Aerol¡neas Argentinas;Regular Cabotaje;5515;5610;33
2018;COR - VVI;Aerol¡neas Argentinas;Regular Internacional;117;170;1
2020;COR - VVI;Aerol¡neas Argentinas;Regular Internacional;132;170;1
2021;CPC - CPC;Aerol¡neas Argentinas;Regular Cabotaje;72;85;0,5
2017;CPC - EZE;Aerol¡neas Argentinas;Av. Gral Cabotaje;0;85;0,5
2021;CPC - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;140;218;1,5
2017;CPC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;165,5;510;3
2019;CPC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;1286,5;2083;12,5
2020;CPC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;1370;1870;11
2021;CPC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;30448;37346;227,5
2018;CPC - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;0;170;1
2017;CPC - NQN;Aerol¡neas Argentinas;Regular Cabotaje;312;425;2,5
2021;CPC - ROS;Aerol¡neas Argentinas;Regular Cabotaje;2347,5;3048;22,5
2019;CRD - CRD;Aerol¡neas Argentinas;Regular Cabotaje;195,5;213;1,5
2019;CRD - CVI;Aerol¡neas Argentinas;No Regular Cabotaje;0;;0,5
2020;CRD - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;64,5;85;0,5
2021;CRD - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;69;85;0,5
2017;CRD - EZE;Aerol¡neas Argentinas;Regular Cabotaje;5580;6980;41,5
2018;CRD - EZE;Aerol¡neas Argentinas;Regular Cabotaje;1244,5;2295;13,5
2019;CRD - EZE;Aerol¡neas Argentinas;Regular Cabotaje;921;1461;9,5
2020;CRD - EZE;Aerol¡neas Argentinas;Regular Cabotaje;9839;12688;76,5
2021;CRD - EZE;Aerol¡neas Argentinas;Regular Cabotaje;28520,5;36866;271,5
2018;CRD - FTE;Aerol¡neas Argentinas;Regular Cabotaje;76;85;0,5
2019;CRD - FTE;Aerol¡neas Argentinas;Regular Cabotaje;48,5;170;1
2020;CRD - FTE;Aerol¡neas Argentinas;Regular Cabotaje;69;85;0,5
2021;CRD - JUJ;Aerol¡neas Argentinas;No Regular Cabotaje;115;170;1
2021;CRD - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;2533;3145;18,5
2017;CRD - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;109;170;1
2018;CRD - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;97;128;1
2018;CRD - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;46;128;1
2019;CRD - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;246;371;2,5
2020;CRD - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;57;85;0,5
2017;CRD - NQN;Aerol¡neas Argentinas;Regular Cabotaje;26763,5;30770;181
2018;CRD - NQN;Aerol¡neas Argentinas;Regular Cabotaje;85;128;1
2019;CRD - NQN;Aerol¡neas Argentinas;Regular Cabotaje;148,5;340;2
2020;CRD - NQN;Aerol¡neas Argentinas;Regular Cabotaje;297,5;340;2
2021;CRD - NQN;Aerol¡neas Argentinas;Regular Cabotaje;17314;20497;208
2017;CRD - REL;Aerol¡neas Argentinas;Regular Cabotaje;131;149;1
2019;CRD - REL;Aerol¡neas Argentinas;Regular Cabotaje;119;137;1
2020;CRD - REL;Aerol¡neas Argentinas;Regular Cabotaje;820,5;1105;6,5
2017;CRD - RGA;Aerol¡neas Argentinas;Regular Cabotaje;128;128;1
2021;CRD - RGA;Aerol¡neas Argentinas;Regular Cabotaje;62,5;85;0,5
2017;CRD - ROS;Aerol¡neas Argentinas;Regular Cabotaje;62;64;0,5
2019;CRD - ROS;Aerol¡neas Argentinas;Regular Cabotaje;60,5;64;0,5
2019;CRD - TUC;Aerol¡neas Argentinas;No Regular Cabotaje;60,5;128;1
2019;CRD - TUC;Aerol¡neas Argentinas;Regular Cabotaje;1;64;0,5
2021;CRD - UAQ;Aerol¡neas Argentinas;Regular Cabotaje;514,5;624;4,5
2017;CRD - USH;Aerol¡neas Argentinas;Regular Cabotaje;89;170;1
2020;CRD - USH;Aerol¡neas Argentinas;Regular Cabotaje;0;85;0,5
2021;CRD - VDM;Aerol¡neas Argentinas;Regular Cabotaje;41,5;48;0,5
2021;CTC - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;64;96;1
2018;CTC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;93,5;128;1
2020;CTC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;3859;4923;49
2021;CTC - EZE;Aerol¡neas Argentinas;Regular Cabotaje;14340;20480;208
2021;CTC - IRJ;Aerol¡neas Argentinas;No Regular Cabotaje;102;192;2
2017;CTC - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;15791;21877;167,5
2018;CTC - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;2137,5;2742;21
2019;CTC - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;910;1033;8
2020;CTC - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;1796;2642;26
2021;CTC - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;25129;33650;341
2021;CTC - SLA;Aerol¡neas Argentinas;Regular Cabotaje;95;96;1
2020;CUN - EZE;Aerol¡neas Argentinas;No Regular Internacional;710;1904;7
2017;CUN - EZE;Aerol¡neas Argentinas;Regular Internacional;113224;128987;453
2018;CUN - EZE;Aerol¡neas Argentinas;Regular Internacional;119822;141415;520
2019;CUN - EZE;Aerol¡neas Argentinas;Regular Internacional;109686;123198;454
2020;CUN - EZE;Aerol¡neas Argentinas;Regular Internacional;35720;45260;167
2021;CUN - EZE;Aerol¡neas Argentinas;Regular Internacional;20990;31919;118
2018;CWB - EZE;Aerol¡neas Argentinas;Regular Internacional;1860;2698;20
2019;CWB - EZE;Aerol¡neas Argentinas;Regular Internacional;59935;88151;604
2020;CWB - EZE;Aerol¡neas Argentinas;Regular Internacional;14190;26986;161
2020;EPA - NQN;Aerol¡neas Argentinas;Regular Cabotaje;57,5;69;0,5
2020;EPA - SDE;Aerol¡neas Argentinas;Regular Cabotaje;16,5;64;0,5
2017;EQS - EZE;Aerol¡neas Argentinas;Regular Cabotaje;117;192;1,5
2019;EQS - EZE;Aerol¡neas Argentinas;Regular Cabotaje;43,5;85;0,5
2020;EQS - EZE;Aerol¡neas Argentinas;Regular Cabotaje;1244;1735;16
2021;EQS - EZE;Aerol¡neas Argentinas;Regular Cabotaje;8713,5;11346;105
2017;EZE - EZE;Aerol¡neas Argentinas;Av. Gral Cabotaje;0;170;1
2018;EZE - EZE;Aerol¡neas Argentinas;Av. Gral Cabotaje;0;285;1
2017;EZE - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;0;2009;9,5
2018;EZE - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;2;1027;4,5
2019;EZE - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;10,5;1190;5
2020;EZE - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;0;1305;7
2021;EZE - EZE;Aerol¡neas Argentinas;No Regular Cabotaje;3;953;6,5
2017;EZE - EZE;Aerol¡neas Argentinas;Regular Cabotaje;19;4909;22
2018;EZE - EZE;Aerol¡neas Argentinas;Regular Cabotaje;484;6013;27
2019;EZE - EZE;Aerol¡neas Argentinas;Regular Cabotaje;1160;4453;23
2020;EZE - EZE;Aerol¡neas Argentinas;Regular Cabotaje;220,5;5598;30
2021;EZE - EZE;Aerol¡neas Argentinas;Regular Cabotaje;177;6745;37
2020;EZE - FCO;Aerol¡neas Argentinas;No Regular Internacional;397;544;2
2021;EZE - FCO;Aerol¡neas Argentinas;No Regular Internacional;47;272;1
2017;EZE - FCO;Aerol¡neas Argentinas;Regular Internacional;141578;163076;591
2018;EZE - FCO;Aerol¡neas Argentinas;Regular Internacional;158558;194921;717
2019;EZE - FCO;Aerol¡neas Argentinas;Regular Internacional;160647;191467;705
2020;EZE - FCO;Aerol¡neas Argentinas;Regular Internacional;24521;30619;113
2021;EZE - FCO;Aerol¡neas Argentinas;Regular Internacional;434;1632;6
2017;EZE - FLN;Aerol¡neas Argentinas;Regular Internacional;2598;3400;20
2018;EZE - FLN;Aerol¡neas Argentinas;Regular Internacional;17295;22950;135
2019;EZE - FLN;Aerol¡neas Argentinas;Regular Internacional;31031;44076;262
2020;EZE - FLN;Aerol¡neas Argentinas;Regular Internacional;42572;60030;366
2021;EZE - FLN;Aerol¡neas Argentinas;Regular Internacional;4797;7704;48
2018;EZE - FMA;Aerol¡neas Argentinas;Regular Cabotaje;57;64;0,5
2019;EZE - FMA;Aerol¡neas Argentinas;Regular Cabotaje;42,5;64;0,5
2021;EZE - FOR;Aerol¡neas Argentinas;Regular Internacional;92;340;2
2020;EZE - FRA;Aerol¡neas Argentinas;Regular Internacional;155;170;1
2018;EZE - FTE;Aerol¡neas Argentinas;No Regular Cabotaje;0;85;0,5
2020;EZE - FTE;Aerol¡neas Argentinas;No Regular Cabotaje;213,5;340;2
2021;EZE - FTE;Aerol¡neas Argentinas;No Regular Cabotaje;37;85;0,5
2017;EZE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;29497;35753;232
2018;EZE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;44291;59772;354
2019;EZE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;51558,5;63923;383
2020;EZE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;26295;32217;191
2021;EZE - FTE;Aerol¡neas Argentinas;Regular Cabotaje;77011;97711;554
2017;EZE - GIG;Aerol¡neas Argentinas;No Regular Internacional;127;170;1
2019;EZE - GIG;Aerol¡neas Argentinas;No Regular Internacional;0;170;1
2021;EZE - GIG;Aerol¡neas Argentinas;No Regular Internacional;0;272;1
2017;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;46339;56857;339
2018;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;209369;273159;1604
2019;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;309837;367680;2167
2020;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;103959;142753;824
2021;EZE - GIG;Aerol¡neas Argentinas;Regular Internacional;14901;28518;164
2021;EZE - GLA;Aerol¡neas Argentinas;Regular Internacional;58;272;1
2020;EZE - GRU;Aerol¡neas Argentinas;No Regular Internacional;1454;2058;12
2017;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;29500;38687;229
2018;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;34005;46165;272
2019;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;308859;405683;2398
2020;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;89499;128397;759
2021;EZE - GRU;Aerol¡neas Argentinas;Regular Internacional;21737;34867;213
2021;EZE - GYE;Aerol¡neas Argentinas;Regular Internacional;259;850;5
2021;EZE - GYN;Aerol¡neas Argentinas;Regular Internacional;77;340;2
2020;EZE - HAV;Aerol¡neas Argentinas;Regular Internacional;28;272;1
2021;EZE - IAH;Aerol¡neas Argentinas;Regular Internacional;99;272;1
2019;EZE - IGR;Aerol¡neas Argentinas;No Regular Cabotaje;83;85;0,5
2017;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;18473;24052;172
2018;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;1183;2093;13
2019;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;4024;5440;32
2020;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;2970,5;5083;33,5
2021;EZE - IGR;Aerol¡neas Argentinas;Regular Cabotaje;64233,5;83241;485
2017;EZE - IQT;Aerol¡neas Argentinas;Regular Internacional;197;285;1
2017;EZE - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;119;128;1
2020;EZE - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;100;181;1,5
2021;EZE - IRJ;Aerol¡neas Argentinas;Regular Cabotaje;905,5;1328;13,5
2020;EZE - JFK;Aerol¡neas Argentinas;No Regular Internacional;934;1360;5
2017;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;164006;194107;715
2018;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;158863;197659;729
2019;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;143048;171925;634
2020;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;15386;20071;74
2021;EZE - JFK;Aerol¡neas Argentinas;Regular Internacional;18954;24058;89
2021;EZE - JUJ;Aerol¡neas Argentinas;No Regular Cabotaje;80;330;2,5
2017;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;1162;1552;9,5
2018;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;4276,5;8580;51,5
2019;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;185;213;1,5
2020;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;6807;8654;73
2021;EZE - JUJ;Aerol¡neas Argentinas;Regular Cabotaje;23232,5;30439;284
2019;EZE - LBC;Aerol¡neas Argentinas;Regular Internacional;96;128;1
2020;EZE - LCA;Aerol¡neas Argentinas;No Regular Internacional;0;272;1
2020;EZE - LCA;Aerol¡neas Argentinas;Regular Internacional;134;272;1
2021;EZE - LCA;Aerol¡neas Argentinas;Regular Internacional;149;272;1
2018;EZE - LDE;Aerol¡neas Argentinas;Regular Internacional;0;285;1
2020;EZE - LHR;Aerol¡neas Argentinas;No Regular Internacional;79;272;1
2020;EZE - LHR;Aerol¡neas Argentinas;Regular Internacional;80;544;2
2020;EZE - LIM;Aerol¡neas Argentinas;No Regular Internacional;350;510;3
2017;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;99031;123386;724
2018;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;87984;122060;718
2019;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;96652;126975;744
2020;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;23016;30634;179
2021;EZE - LIM;Aerol¡neas Argentinas;Regular Internacional;6152;10044;63
2021;EZE - LIS;Aerol¡neas Argentinas;No Regular Internacional;55;272;1
2018;EZE - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;83;128;1
2020;EZE - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;1343,5;1776;18
2021;EZE - LUQ;Aerol¡neas Argentinas;Regular Cabotaje;4429;6880;71,5
2020;EZE - MAD;Aerol¡neas Argentinas;No Regular Internacional;2921;4624;17
2021;EZE - MAD;Aerol¡neas Argentinas;No Regular Internacional;13;272;1
2017;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;183030;201513;732
2018;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;218599;250103;879
2019;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;294783;339777;1207
2020;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;64604;84654;311
2021;EZE - MAD;Aerol¡neas Argentinas;Regular Internacional;49462;81450;301
2019;EZE - MCO;Aerol¡neas Argentinas;Regular Internacional;3485;4070;15
2020;EZE - MCO;Aerol¡neas Argentinas;Regular Internacional;12357;17380;65
2019;EZE - MCZ;Aerol¡neas Argentinas;Regular Internacional;208;272;1
2020;EZE - MDE;Aerol¡neas Argentinas;No Regular Internacional;57;170;1
2018;EZE - MDQ;Aerol¡neas Argentinas;No Regular Cabotaje;6,5;85;0,5
2021;EZE - MDQ;Aerol¡neas Argentinas;No Regular Cabotaje;61,5;144;1,5
2018;EZE - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;424,5;765;4,5
2019;EZE - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;423;766;5
2020;EZE - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;3231;4722;47
2021;EZE - MDQ;Aerol¡neas Argentinas;Regular Cabotaje;17671,5;24993;257,5
2020;EZE - MDZ;Aerol¡neas Argentinas;Av. Gral Cabotaje;77;85;0,5
2020;EZE - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;73,5;170;1
2021;EZE - MDZ;Aerol¡neas Argentinas;No Regular Cabotaje;0;48;0,5
2017;EZE - MDZ;Aerol¡neas Argentinas;Regular Cabotaje;457;1190;7
