A¤o;RutaCompleta;Aerolinea Nombre;Clase de vuelo;Pax;Asientos_Pax;Vuelos
2024;AEP - EZE;;Regular Cabotaje;0;95;0,5
2025;AEP - EZE;;Regular Cabotaje;0;189;1
2022;AEP - FDO;;Av. Gral Cabotaje;55;2681;330
2023;AEP - FDO;;Av. Gral Cabotaje;92;4841;377,5
2024;AEP - FDO;;Av. Gral Cabotaje;68;1873;238,5
2025;AEP - FDO;;Av. Gral Cabotaje;85,5;922;194,5
2022;AEP - FDO;;No Regular Cabotaje;132,5;1649;254
2023;AEP - FDO;;No Regular Cabotaje;63,5;4346;319,5
2024;AEP - FDO;;No Regular Cabotaje;152;1372;207,5
2025;AEP - FDO;;No Regular Cabotaje;122,5;1901;240,5
2022;AEP - FDO;;Regular Cabotaje;0;0;0,5
2024;AEP - FEN;;Av. Gral Internacional;14;0;2
2022;AEP - FLL;;Av. Gral Internacional;10;0;3
2023;AEP - FLL;;Av. Gral Internacional;2;;1
2024;AEP - FLL;;Av. Gral Internacional;3;0;2
2025;AEP - FLL;;Av. Gral Internacional;4;0;3
2022;AEP - FLL;;No Regular Internacional;10;0;4
2023;AEP - FLL;;No Regular Internacional;0;0;1
2024;AEP - FLL;;No Regular Internacional;10;0;6
2025;AEP - FLL;;No Regular Internacional;15;;4
2023;AEP - FLN;;Av. Gral Internacional;6;;3
2024;AEP - FLN;;Av. Gral Internacional;2;0;1
2025;AEP - FLN;;Av. Gral Internacional;3;0;1
2023;AEP - FLN;;No Regular Internacional;0;;2
2024;AEP - FLN;;No Regular Internacional;4;0;2
2025;AEP - FLN;;No Regular Internacional;5;;1
2022;AEP - FMA;;Av. Gral Cabotaje;121,5;0;9
2023;AEP - FMA;;Av. Gral Cabotaje;14,5;0;5,5
2024;AEP - FMA;;Av. Gral Cabotaje;83;0;21,5
2025;AEP - FMA;;Av. Gral Cabotaje;113,5;185;12
2022;AEP - FMA;;No Regular Cabotaje;45,5;50;22
2023;AEP - FMA;;No Regular Cabotaje;70;221;23,5
2024;AEP - FMA;;No Regular Cabotaje;37;0;17
2025;AEP - FMA;;No Regular Cabotaje;46,5;19;11
2022;AEP - FMA;;Regular Cabotaje;1492,5;1584;16,5
2023;AEP - FMA;;Regular Cabotaje;76,5;96;1
2022;AEP - FOR;;Av. Gral Internacional;237;423;3
2022;AEP - FSC;;No Regular Internacional;4;0;1
2022;AEP - FTE;;Av. Gral Cabotaje;115;0;42
2023;AEP - FTE;;Av. Gral Cabotaje;62,5;0;24
2024;AEP - FTE;;Av. Gral Cabotaje;5;0;1
2025;AEP - FTE;;Av. Gral Cabotaje;4;0;0,5
2022;AEP - FTE;;No Regular Cabotaje;6;0;4
2023;AEP - FTE;;No Regular Cabotaje;10,5;0;15
2024;AEP - FTE;;No Regular Cabotaje;11;95;4
2025;AEP - FTE;;No Regular Cabotaje;65,5;95;14
2023;AEP - FTE;;Regular Cabotaje;10;0;3
2024;AEP - FXE;;Av. Gral Internacional;9;0;2
2024;AEP - FXE;;No Regular Internacional;3;0;1
2022;AEP - GHU;;Av. Gral Cabotaje;27;37;4
2023;AEP - GHU;;Av. Gral Cabotaje;5,5;;2
2025;AEP - GHU;;Av. Gral Cabotaje;1,5;;0,5
2022;AEP - GHU;;No Regular Cabotaje;89;;1,5
2023;AEP - GHU;;No Regular Cabotaje;11,5;135;4
2025;AEP - GHU;;No Regular Cabotaje;1,5;;0,5
2023;AEP - GIG;;Av. Gral Internacional;286;1963;20
2024;AEP - GIG;;Av. Gral Internacional;38;88;5
2025;AEP - GIG;;Av. Gral Internacional;6;;1
2022;AEP - GIG;;No Regular Internacional;16;0;2
2024;AEP - GIG;;No Regular Internacional;25;7;6
2025;AEP - GIG;;No Regular Internacional;14;0;5
2022;AEP - GNR;;Av. Gral Cabotaje;49,5;0;2,5
2022;AEP - GNR;;No Regular Cabotaje;9;5;3
2022;AEP - GPO;;Av. Gral Cabotaje;7;;1
2023;AEP - GPO;;Av. Gral Cabotaje;10,5;;2,5
2024;AEP - GPO;;Av. Gral Cabotaje;1;;1
2022;AEP - GPO;;No Regular Cabotaje;6;;1
2023;AEP - GPO;;No Regular Cabotaje;3,5;0;1
2024;AEP - GPO;;No Regular Cabotaje;3,5;0;1,5
2022;AEP - GRU;;Av. Gral Internacional;7;0;4
2023;AEP - GRU;;Av. Gral Internacional;113;282;6
2024;AEP - GRU;;Av. Gral Internacional;10;0;2
2022;AEP - GRU;;No Regular Internacional;27;0;8
2023;AEP - GRU;;No Regular Internacional;15;378;6
2024;AEP - GRU;;No Regular Internacional;9;0;4
2025;AEP - GRU;;No Regular Internacional;14;0;2
2022;AEP - GYE;;Av. Gral Internacional;19;0;4
2023;AEP - GYE;;Av. Gral Internacional;0;0;2
2025;AEP - GYE;;Av. Gral Internacional;16;;4
2022;AEP - GYE;;No Regular Internacional;19;189;5
2023;AEP - GYE;;No Regular Internacional;5;0;1
2024;AEP - GYE;;No Regular Internacional;30;;5
2025;AEP - GYE;;No Regular Internacional;12;;2
2024;AEP - HLA;;No Regular Internacional;0;0;1
2025;AEP - HOS;;No Regular Cabotaje;1,5;0;0,5
2024;AEP - HPN;;Av. Gral Internacional;3;0;1
2022;AEP - HPN;;No Regular Internacional;2;0;1
2024;AEP - IAD;;Av. Gral Internacional;2;;1
2025;AEP - IAD;;Av. Gral Internacional;2;;1
2024;AEP - IAD;;No Regular Internacional;9;0;4
2025;AEP - IAD;;No Regular Internacional;2;;2
2022;AEP - IBZ;;Av. Gral Internacional;0;0;1
2025;AEP - IBZ;;Av. Gral Internacional;0;;1
2022;AEP - IBZ;;No Regular Internacional;0;0;1
2025;AEP - IBZ;;No Regular Internacional;6;;1
2022;AEP - IGR;;Av. Gral Cabotaje;186,5;271;10,5
2023;AEP - IGR;;Av. Gral Cabotaje;350,5;579;12,5
2024;AEP - IGR;;Av. Gral Cabotaje;9;95;2,5
2025;AEP - IGR;;Av. Gral Cabotaje;45;0;3,5
2022;AEP - IGR;;No Regular Cabotaje;72;0;20
2023;AEP - IGR;;No Regular Cabotaje;161,5;141;18
2024;AEP - IGR;;No Regular Cabotaje;66;426;18
2025;AEP - IGR;;No Regular Cabotaje;48,5;0;13,5
2023;AEP - IGR;;Regular Cabotaje;98,5;160;1,5
2023;AEP - IGU;;Av. Gral Internacional;8;0;2
2025;AEP - IGU;;Av. Gral Internacional;28;0;4
2023;AEP - IGU;;No Regular Internacional;8;;2
2024;AEP - IGU;;No Regular Internacional;0;0;1
2025;AEP - IGU;;No Regular Internacional;4;0;1
2022;AEP - IQQ;;No Regular Internacional;0;0;1
2022;AEP - IRJ;;Av. Gral Cabotaje;550;617;65,5
2023;AEP - IRJ;;Av. Gral Cabotaje;384;596;46,5
2024;AEP - IRJ;;Av. Gral Cabotaje;215;0;39
2025;AEP - IRJ;;Av. Gral Cabotaje;99,5;0;16,5
2022;AEP - IRJ;;No Regular Cabotaje;188;287;37
2023;AEP - IRJ;;No Regular Cabotaje;83,5;0;20
2024;AEP - IRJ;;No Regular Cabotaje;61,5;0;12,5
2025;AEP - IRJ;;No Regular Cabotaje;62,5;0;14
2023;AEP - IRJ;;Regular Cabotaje;12;33;1
2023;AEP - JFK;;Av. Gral Internacional;7;;1
2025;AEP - JFK;;Av. Gral Internacional;40;0;2
2023;AEP - JNI;;Av. Gral Cabotaje;1;;0,5
2024;AEP - JNI;;Av. Gral Cabotaje;0,5;0;1
2025;AEP - JNI;;Av. Gral Cabotaje;3;;0,5
2024;AEP - JNI;;No Regular Cabotaje;4;0;1,5
2022;AEP - JUJ;;Av. Gral Cabotaje;412,5;460;107,5
2023;AEP - JUJ;;Av. Gral Cabotaje;291,5;9;108,5
2024;AEP - JUJ;;Av. Gral Cabotaje;33,5;95;8,5
2025;AEP - JUJ;;Av. Gral Cabotaje;147,5;163;45
2022;AEP - JUJ;;No Regular Cabotaje;115;5;43
2023;AEP - JUJ;;No Regular Cabotaje;171,5;5;36,5
2024;AEP - JUJ;;No Regular Cabotaje;24;95;5
2025;AEP - JUJ;;No Regular Cabotaje;44;0;15,5
2023;AEP - JUJ;;Regular Cabotaje;82;85;1
2022;AEP - KNA;;Av. Gral Internacional;0;0;1
2024;AEP - LCM;;Av. Gral Cabotaje;1;;0,5
2025;AEP - LCM;;Av. Gral Cabotaje;0;;0,5
2024;AEP - LCM;;No Regular Cabotaje;1,5;;0,5
2025;AEP - LCM;;No Regular Cabotaje;3,5;;1
2022;AEP - LGS;;Av. Gral Cabotaje;0,5;0;1
2023;AEP - LGS;;Av. Gral Cabotaje;0;0;0,5
2024;AEP - LGS;;Av. Gral Cabotaje;24,5;0;2,5
2025;AEP - LGS;;Av. Gral Cabotaje;8;0;1,5
2022;AEP - LGS;;No Regular Cabotaje;1,5;0;1
2023;AEP - LGS;;No Regular Cabotaje;9;0;2
2024;AEP - LGS;;No Regular Cabotaje;3,5;0;0,5
2025;AEP - LGS;;No Regular Cabotaje;3;0;0,5
2022;AEP - LIM;;Av. Gral Internacional;131;149;7
2023;AEP - LIM;;Av. Gral Internacional;174;282;2
2024;AEP - LIM;;Av. Gral Internacional;14;0;1
2025;AEP - LIM;;Av. Gral Internacional;24;141;5
2025;AEP - LIM;;No Regular Internacional;29;0;5
2025;AEP - LIM;;Regular Internacional;0;0;1
2024;AEP - LPA;;Av. Gral Internacional;10;0;1
2025;AEP - LPA;;Av. Gral Internacional;67;0;4
2024;AEP - LPA;;No Regular Internacional;25;0;3
2024;AEP - LPA;;Regular Internacional;15;0;1
2025;AEP - LPB;;Av. Gral Internacional;3;0;1
2022;AEP - LPG;;Av. Gral Cabotaje;14;33;25
2023;AEP - LPG;;Av. Gral Cabotaje;9,5;0;15
2024;AEP - LPG;;Av. Gral Cabotaje;16,5;0;10
2025;AEP - LPG;;Av. Gral Cabotaje;6,5;0;5
2022;AEP - LPG;;No Regular Cabotaje;27,5;;26,5
2023;AEP - LPG;;No Regular Cabotaje;19;0;18
2024;AEP - LPG;;No Regular Cabotaje;12;0;9
2025;AEP - LPG;;No Regular Cabotaje;80,5;0;4,5
2022;AEP - LUQ;;Av. Gral Cabotaje;98;33;7,5
2023;AEP - LUQ;;Av. Gral Cabotaje;148;141;11
2024;AEP - LUQ;;Av. Gral Cabotaje;12;0;5
2025;AEP - LUQ;;Av. Gral Cabotaje;22,5;0;10
2022;AEP - LUQ;;No Regular Cabotaje;117,5;0;5,5
2023;AEP - LUQ;;No Regular Cabotaje;7;0;2
2024;AEP - LUQ;;No Regular Cabotaje;2;0;1,5
2025;AEP - LUQ;;No Regular Cabotaje;12,5;0;2,5
2022;AEP - LUQ;;Regular Cabotaje;111,5;133;1
2022;AEP - MAD;;No Regular Internacional;0;0;1
2025;AEP - MAD;;No Regular Internacional;2;;2
2022;AEP - MCO;;No Regular Internacional;0;0;1
2023;AEP - MCO;;No Regular Internacional;10;0;2
2025;AEP - MCZ;;Av. Gral Internacional;83;141;1
2023;AEP - MDE;;No Regular Internacional;15;0;2
2022;AEP - MDQ;;Av. Gral Cabotaje;655;1438;65
