IDProy;CategObra;Obra;ObraWeb;Total;IATA;SNA;Provincia;total_m;anterior_m;a2025_m;a2026_m;a2027_m;posterior_m;Ant1024;agosto;septiembre;octubre;noviembre;diciembre;A2025;A2026;A2027;PeriPost
7 - 11,25;Contra Incendios;GOYEU - Aeropuerto General Pico - Instalacion contra incendio - Modificacion de Monto-;Instalacion contra incendio;209253000;GPO;Grupo A;LA PAMPA;209,25 M;0,00 M;0,00 M;0,00 M;0,00 M;209,25 M;0;0;0;0;0;0;0;0;0;209253000
9 - 11,25;Contra Incendios;GOYEU - Aeropuerto Rio Cuarto - Instalacion contra incendio - Modificacion de Monto-;Instalacion contra incendio;627759000;RCU;Grupo A;CORDOBA;627,76 M;0,00 M;0,00 M;0,00 M;0,00 M;627,76 M;0;0;0;0;0;0;0;0;0;627759000
449-11,25;Contra Incendios;GOYEU - Aeropuerto Reconquista - Instalacion contra incendios -  -Modificacion de Monto-;Instalacion contra incendios;710192000;RCQ;Grupo A;SANTA FE;710,19 M;0,00 M;0,00 M;0,00 M;0,00 M;710,19 M;0;0;0;0;0;0;0;0;0;710192000
486 - 11,25;Pista;GPA - Aeropuerto Ezeiza - Repavimentacion de Pista 17/35 - Interseccion Pista 17/35 y 11/29 - Modificacion de Monto-;Repavimentacion de Pista 17/35 - Interseccion Pista 17/35 y 11/29;61600000000;EZE;Grupo A;BUENOS AIRES;61600,00 M;0,00 M;0,00 M;54100,00 M;7500,00 M;0,00 M;0;0;0;0;0;0;0;54100000000;7500000000;0
484 - 11,25;Rodaje;GPA- Aeropuerto Ezeiza - Repavimentacion Calle Rodaje Hotel - Modificacion de Monto;Repavimentacion Calle Rodaje Hotel;44100000000;EZE;Grupo A;BUENOS AIRES;44100,00 M;0,00 M;0,00 M;0,00 M;44100,00 M;0,00 M;0;0;0;0;0;0;0;0;44100000000;0
488 - 11,25;Rodaje;GPA- Aeropuerto Ezeiza - Repavimentacion Rodaje Principal - Modificacion de Monto;Repavimentacion Rodaje Principal;29000000000;EZE;Grupo A;BUENOS AIRES;29000,00 M;0,00 M;0,00 M;0,00 M;0,00 M;29000,00 M;0;0;0;0;0;0;0;0;0;29000000000
458 - 11,25;Pista;GPA - Aeropuerto Ezeiza - Repavimentacion Pista 11/29 - Modificacion de Monto;Repavimentacion Pista 11/29;19600000000;EZE;Grupo A;BUENOS AIRES;19600,00 M;0,00 M;0,00 M;0,00 M;19600,00 M;0,00 M;0;0;0;0;0;0;0;0;19600000000;0
489 - Resc. Acc.Pref.;Rodaje;GPA- Aeropuerto Ezeiza - Repavimentacion Rodaje Alfa - Modificacion de Monto;Repavimentacion Rodaje Alfa;6100000000;EZE;Grupo A;BUENOS AIRES;6100,00 M;0,00 M;0,00 M;6100,00 M;0,00 M;0,00 M;0;0;0;0;0;0;0;6100000000;0;0
485 - 11,25(EX 485 - 2,5);Pista;GPA - Aeropuerto R’o Grande - Repavimentacion de Pista - Modificacion de Monto;Repavimentacion de Pista;52000000000;RGA;Grupo A;TIERRA DEL FUEGO;52000,00 M;0,00 M;27000,00 M;25000,00 M;0,00 M;0,00 M;0;0;0;15000000000;6000000000;6000000000;27000000000;25000000000;0;0
505 - 11,25;Pista;GPA - Aeropuerto Malargüe - Rehabilitacion de Pista - Nuevo Proyecto;Rehabilitacion de Pista;21000000000;LGS;Grupo A;MENDOZA;21000,00 M;0,00 M;0,00 M;0,00 M;9300,00 M;11700,00 M;0;0;0;0;0;0;0;0;9300000000;11700000000
507 - 11,25;Rodaje;GPA - Aeropuerto San Fernando - Rehabilitacion Rodajes - Nuevo Proyecto;Rehabilitacion Rodajes;17800000000;FDO;Grupo A;BUENOS AIRES;17800,00 M;0,00 M;0,00 M;0,00 M;17800,00 M;0,00 M;0;0;0;0;0;0;0;0;17800000000;0
508 - 11,25;Pista;GPA - Aeropuerto San Fernando - Franja de Pista - Nuevo Proyecto;Franja de Pista;37000000000;FDO;Grupo A;BUENOS AIRES;37000,00 M;0,00 M;0,00 M;0,00 M;37000,00 M;0,00 M;0;0;0;0;0;0;0;0;37000000000;0
515 - 11,25;Balizamiento;GPA - Aeropuerto Ezeiza - Balizamiento Pista 11/29 (obra civil) - Nuevo Proyecto;Balizamiento Pista 11/29 (obra civil);9800000000;EZE;Grupo A;BUENOS AIRES;9800,00 M;0,00 M;0,00 M;0,00 M;9800,00 M;0,00 M;0;0;0;0;0;0;0;0;9800000000;
516 - 11,25;Terminal de pasajeros;GPA - Aeropuerto Bariloche - Ampliacion Terminal de Pasajeros - Nuevo Proyecto;Ampliacion Terminal de Pasajeros;26500000000;BRC;Grupo A;RIO NEGRO;26500,00 M;0,00 M;0,00 M;0,00 M;12500,00 M;14000,00 M;0;0;0;0;0;0;0;0;12500000000;14000000000
