mes;mes_nombre;iata;cabotaje;internacional;TotalPasajeros
6;Jun;NQN;926;0;926
7;Jul;NQN;1026;0;1026
8;Ago;NQN;986;0;986
9;Sep;NQN;1032;0;1032
10;Oct;NQN;1055;0;1055
11;Nov;NQN;1044;2;1046
12;Dic;NQN;1103;7;1110
1;Ene;PMY;145;0;145
2;Feb;PMY;145;0;145
3;Mar;PMY;214;0;214
4;Abr;PMY;106;0;106
5;May;PMY;133;0;133
6;Jun;PMY;101;0;101
7;Jul;PMY;131;0;131
8;Ago;PMY;133;0;133
9;Sep;PMY;192;0;192
10;Oct;PMY;185;0;185
11;Nov;PMY;176;0;176
12;Dic;PMY;114;0;114
1;Ene;PRA;55;2;57
2;Feb;PRA;56;1;57
3;Mar;PRA;68;1;69
4;Abr;PRA;57;3;60
5;May;PRA;67;0;67
6;Jun;PRA;72;0;72
7;Jul;PRA;63;0;63
8;Ago;PRA;72;0;72
9;Sep;PRA;59;0;59
10;Oct;PRA;56;0;56
11;Nov;PRA;50;0;50
12;Dic;PRA;83;0;83
1;Ene;PSS;239;0;239
2;Feb;PSS;186;0;186
3;Mar;PSS;239;0;239
4;Abr;PSS;244;1;245
5;May;PSS;231;0;231
6;Jun;PSS;268;3;271
7;Jul;PSS;266;0;266
8;Ago;PSS;269;1;270
9;Sep;PSS;282;2;284
10;Oct;PSS;303;1;304
11;Nov;PSS;263;2;265
12;Dic;PSS;248;0;248
1;Ene;RCQ;3;1;4
2;Feb;RCQ;15;0;15
3;Mar;RCQ;25;0;25
4;Abr;RCQ;21;0;21
5;May;RCQ;15;0;15
6;Jun;RCQ;32;0;32
7;Jul;RCQ;22;0;22
8;Ago;RCQ;29;0;29
9;Sep;RCQ;18;0;18
10;Oct;RCQ;15;0;15
11;Nov;RCQ;17;0;17
12;Dic;RCQ;20;0;20
1;Ene;RCU;13;0;13
2;Feb;RCU;21;0;21
3;Mar;RCU;34;0;34
4;Abr;RCU;25;0;25
5;May;RCU;38;0;38
6;Jun;RCU;0;0;0
7;Jul;RCU;0;0;0
8;Ago;RCU;0;0;0
9;Sep;RCU;0;0;0
10;Oct;RCU;0;0;0
11;Nov;RCU;31;1;32
12;Dic;RCU;50;0;50
1;Ene;REL;186;0;186
2;Feb;REL;171;0;171
3;Mar;REL;184;0;184
4;Abr;REL;145;0;145
5;May;REL;173;0;173
6;Jun;REL;160;0;160
7;Jul;REL;210;0;210
8;Ago;REL;195;0;195
9;Sep;REL;239;0;239
10;Oct;REL;332;1;333
11;Nov;REL;317;0;317
12;Dic;REL;302;0;302
1;Ene;RES;158;4;162
2;Feb;RES;133;0;133
3;Mar;RES;161;1;162
4;Abr;RES;200;4;204
5;May;RES;241;1;242
6;Jun;RES;216;1;217
7;Jul;RES;249;5;254
8;Ago;RES;213;0;213
9;Sep;RES;220;1;221
10;Oct;RES;209;0;209
11;Nov;RES;198;2;200
12;Dic;RES;211;2;213
1;Ene;RGA;147;0;147
2;Feb;RGA;149;2;151
3;Mar;RGA;182;0;182
4;Abr;RGA;135;0;135
5;May;RGA;178;0;178
6;Jun;RGA;124;0;124
7;Jul;RGA;174;0;174
8;Ago;RGA;133;0;133
9;Sep;RGA;153;0;153
10;Oct;RGA;179;0;179
11;Nov;RGA;124;0;124
12;Dic;RGA;125;0;125
1;Ene;RGL;165;2;167
2;Feb;RGL;231;5;236
3;Mar;RGL;242;4;246
4;Abr;RGL;230;2;232
5;May;RGL;257;2;259
6;Jun;RGL;230;3;233
7;Jul;RGL;213;2;215
8;Ago;RGL;235;2;237
9;Sep;RGL;18;0;18
10;Oct;RGL;25;0;25
11;Nov;RGL;18;0;18
12;Dic;RGL;86;0;86
1;Ene;RHD;27;1;28
2;Feb;RHD;25;0;25
3;Mar;RHD;72;1;73
4;Abr;RHD;14;0;14
5;May;RHD;44;0;44
6;Jun;RHD;20;0;20
7;Jul;RHD;25;0;25
8;Ago;RHD;29;0;29
9;Sep;RHD;23;0;23
10;Oct;RHD;31;0;31
11;Nov;RHD;19;0;19
12;Dic;RHD;35;0;35
1;Ene;RLO;26;0;26
2;Feb;RLO;30;0;30
3;Mar;RLO;30;0;30
4;Abr;RLO;32;0;32
5;May;RLO;105;1;105
6;Jun;RLO;119;0;119
7;Jul;RLO;110;0;110
8;Ago;RLO;104;0;104
9;Sep;RLO;113;0;113
10;Oct;RLO;142;0;142
11;Nov;RLO;83;0;83
12;Dic;RLO;104;0;104
1;Ene;ROS;242;272;514
2;Feb;ROS;232;238;470
3;Mar;ROS;257;183;440
4;Abr;ROS;233;120;353
5;May;ROS;268;146;414
6;Jun;ROS;233;140;373
7;Jul;ROS;384;170;554
8;Ago;ROS;325;154;479
9;Sep;ROS;153;86;239
10;Oct;ROS;0;0;0
11;Nov;ROS;1;0;1
12;Dic;ROS;32;15;47
1;Ene;RSA;48;0;48
2;Feb;RSA;41;0;41
3;Mar;RSA;78;1;79
4;Abr;RSA;60;0;60
5;May;RSA;46;0;46
6;Jun;RSA;48;0;48
7;Jul;RSA;49;0;49
8;Ago;RSA;48;0;48
9;Sep;RSA;46;0;46
10;Oct;RSA;51;0;51
