pais,codigo_iata,codigo_oaci,nombre_oficial,anio,pax_nacionales_arribados,pax_nacionales_partidos,pax_internacionales_arribados,pax_internacionales_partidos,pax_nacionales_total,pax_internacionales_total,pax_arribados_total,pax_partidos_total,pax_totales,mov_nacionales_aterrizajes,mov_nacionales_despegues,mov_internacionales_aterrizajes,mov_internacionales_despegues,mov_nacionales_total,mov_internacionales_total,mov_aterrizajes_total,mov_despegues_total,mov_totales,meses_pasajeros_disponibles,meses_movimientos_disponibles,cobertura_anual,fuente_pasajeros,fuente_movimientos
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2018,,,,,51695,0,,,51695,,,,,731,0,,,731,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2019,,,,,53370,0,,,53370,,,,,710,0,,,710,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2020,,,,,11967,0,,,11967,,,,,212,0,,,212,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2021,,,,,21886,0,,,21886,,,,,371,0,,,371,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2022,,,,,51555,0,,,51555,,,,,799,0,,,799,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2023,,,,,43248,0,,,43248,,,,,772,0,,,772,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2024,,,,,48291,0,,,48291,,,,,1289,0,,,1289,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2025,,,,,49404,0,,,49404,,,,,662,0,,,662,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2026,,,,,22051,180,,,22231,,,,,280,1,,,281,6,6,6 meses pasajeros / 6 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2001,,,,,1694,28,,,1722,,,,,374,9,,,383,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2002,,,,,0,0,,,0,,,,,0,0,,,0,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2003,,,,,150,13,,,163,,,,,63,4,,,67,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2004,,,,,115,9,,,124,,,,,25,3,,,28,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2005,,,,,112,0,,,112,,,,,25,0,,,25,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2006,,,,,73,0,,,73,,,,,25,0,,,25,12,12,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
