pais,codigo_iata,codigo_oaci,nombre_oficial,anio,pax_nacionales_arribados,pax_nacionales_partidos,pax_internacionales_arribados,pax_internacionales_partidos,pax_nacionales_total,pax_internacionales_total,pax_arribados_total,pax_partidos_total,pax_totales,mov_nacionales_aterrizajes,mov_nacionales_despegues,mov_internacionales_aterrizajes,mov_internacionales_despegues,mov_nacionales_total,mov_internacionales_total,mov_aterrizajes_total,mov_despegues_total,mov_totales,meses_pasajeros_disponibles,meses_movimientos_disponibles,cobertura_anual,fuente_pasajeros,fuente_movimientos
Argentina,AEP,SABE,Aeroparque Jorge Newbery,2026,2805414.0,2786277.0,1430497.0,1389620.0,5591691.0,2820117.0,4235911.0,4175897.0,8411808.0,21946.0,21899.0,10410.0,10492.0,43845.0,20902.0,32356.0,32391.0,64747.0,6,6.0,6 meses pasajeros / 6 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2001,,,,,10165.0,0.0,,,10165.0,,,,,563.0,0.0,,,563.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2002,,,,,4487.0,0.0,,,4487.0,,,,,242.0,0.0,,,242.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2003,,,,,7763.0,0.0,,,7763.0,,,,,334.0,0.0,,,334.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2004,,,,,17460.0,4.0,,,17464.0,,,,,628.0,1.0,,,629.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2005,,,,,19998.0,0.0,,,19998.0,,,,,681.0,0.0,,,681.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2006,,,,,21351.0,0.0,,,21351.0,,,,,636.0,0.0,,,636.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2007,,,,,15252.0,0.0,,,15252.0,,,,,461.0,0.0,,,461.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2008,,,,,11951.0,0.0,,,11951.0,,,,,383.0,0.0,,,383.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2009,,,,,17312.0,0.0,,,17312.0,,,,,578.0,0.0,,,578.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2010,,,,,16018.0,0.0,,,16018.0,,,,,405.0,0.0,,,405.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2011,,,,,14051.0,0.0,,,14051.0,,,,,264.0,0.0,,,264.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2012,,,,,22106.0,0.0,,,22106.0,,,,,605.0,0.0,,,605.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2013,,,,,31955.0,0.0,,,31955.0,,,,,713.0,0.0,,,713.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2014,,,,,36720.0,0.0,,,36720.0,,,,,717.0,0.0,,,717.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2015,19985.0,21594.0,,,41579.0,,19985.0,21594.0,41579.0,357.0,355.0,,,712.0,,357.0,355.0,712.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2016,28038.0,28150.0,,,56188.0,,28038.0,28150.0,56188.0,444.0,438.0,,,882.0,,444.0,438.0,882.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2017,27074.0,26456.0,,,53530.0,,27074.0,26456.0,53530.0,381.0,380.0,,,761.0,,381.0,380.0,761.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2018,25852.0,25843.0,,,51695.0,,25852.0,25843.0,51695.0,366.0,365.0,,,731.0,,366.0,365.0,731.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2019,26393.0,26977.0,,,53370.0,,26393.0,26977.0,53370.0,354.0,356.0,,,710.0,,354.0,356.0,710.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2020,5725.0,6242.0,,,11967.0,,5725.0,6242.0,11967.0,105.0,107.0,,,212.0,,105.0,107.0,212.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2021,10641.0,11245.0,,,21886.0,,10641.0,11245.0,21886.0,187.0,184.0,,,371.0,,187.0,184.0,371.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2022,25846.0,25709.0,,,51555.0,,25846.0,25709.0,51555.0,401.0,398.0,,,799.0,,401.0,398.0,799.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2023,21761.0,21487.0,,,43248.0,,21761.0,21487.0,43248.0,393.0,379.0,,,772.0,,393.0,379.0,772.0,10,10.0,10 meses pasajeros / 10 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2024,24247.0,23749.0,,,47996.0,,24247.0,23749.0,47996.0,652.0,651.0,,,1303.0,,652.0,651.0,1303.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2025,24923.0,24481.0,,,49404.0,,24923.0,24481.0,49404.0,328.0,334.0,,,662.0,,328.0,334.0,662.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AFA,SAMR,Aeropuerto Suboficial Ay Santiago Germano,2026,10807.0,11244.0,,180.0,22051.0,180.0,10807.0,11424.0,22231.0,141.0,139.0,,1.0,280.0,1.0,141.0,140.0,281.0,6,6.0,6 meses pasajeros / 6 meses movimientos,"SIAC ANAC Argentina - TablaFinalArgentina, pasajeros por aeropuerto, tráfico y sentido","SIAC ANAC Argentina - TablaFinalArgentina, movimientos por aeropuerto, tráfico y sentido"
Argentina,AOL,,Paso de los Libres,2001,,,,,1694.0,28.0,,,1722.0,,,,,374.0,9.0,,,383.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2002,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,,,0.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2003,,,,,150.0,13.0,,,163.0,,,,,63.0,4.0,,,67.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2004,,,,,115.0,9.0,,,124.0,,,,,25.0,3.0,,,28.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2005,,,,,112.0,0.0,,,112.0,,,,,25.0,0.0,,,25.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2006,,,,,73.0,0.0,,,73.0,,,,,25.0,0.0,,,25.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2007,,,,,84.0,7.0,,,91.0,,,,,23.0,5.0,,,28.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2008,,,,,153.0,0.0,,,153.0,,,,,53.0,0.0,,,53.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
Argentina,AOL,,Paso de los Libres,2009,,,,,280.0,10.0,,,290.0,,,,,106.0,3.0,,,109.0,12,12.0,12 meses pasajeros / 12 meses movimientos,"SIAC ANAC Argentina - Tablas 9 y 10, pasajeros comerciales por aeropuerto","SIAC ANAC Argentina - Tablas 12 y 13, movimientos comerciales por aeropuerto"
